word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
A,article,1,Function word: indefinite article,A FUEL PUMP IS INSTALLED IN ZONE 10.,
ABOUT,preposition,1,"Concerned with For other meanings, use:","FOR DATA ABOUT THE LOCATION OF CIRCUIT BREAKERS, REFER TO THE WIRING LIST.",
ABOVE,preposition,1,"In (or to) a position farther up than something For other meanings, use:",LIFT THE CYLINDER ABOVE ITS INSTALLED POSITION.,
ABRASIVE,adjective,1,That can remove material by friction,POLISH THE SURFACE WITH AN ABRASIVE PAPER.,
"ABSORB (verb) , ABSORBS, ABSORBED, ABSORBED",,1,1. To take up or into,ABSORB THE FLUID WITH A CLEAN CLOTH.,
"ACCEPT (verb) , ACCEPTS, ACCEPTED, ACCEPTED",,1,To make a decision that something is satisfactory,ACCEPT THE RELAY IF IT IS SERVICEABLE.,
ACCESS,noun,1,The ability to go into or near,GET ACCESS TO THE ACCUMULATOR FOR THE No. 1 HYDRAULIC SYSTEM.,
ACCIDENT,noun,1,An occurrence that causes injury or damage,"TO PREVENT ACCIDENTS, MAKE SURE THAT THE PINS ARE INSTALLED.",
ACCIDENTAL,adjective,1,That does not occur on purpose,"TO PREVENT ACCIDENTAL OPERATION OF THE SYSTEM, INSTALL THE SAFETY LOCK.",
ACCIDENTALLY,adverb,1,That does not occur on purpose,"IF YOU ACCIDENTALLY MOVE THE LEVER, SET THE SYSTEM TO THE NEUTRAL POSITION AGAIN.",
ACCURATE,adjective,1,Exact,THE ADJUSTMENT MUST BE ACCURATE.,
ACCURATELY,adverb,1,Exactly,PUT THE REPAIR SHEET ACCURATELY ON THE DAMAGED AREA.,
ACROSS,preposition,1,From one side to the other side,SAFETY THE CLAMP BLOCK ACROSS THE CONTROL LEVER FORKS WITH SAFETY WIRE.,
ACTIVATE,verb,1,"To make a system, function, or feature ready for operation For other meanings, use:",THE AUTOPILOT ACTIVATES THE APPROACH MODE.,
ACTIVE,adjective,1,"A system, function, or feature in a state of action",DOWNLOAD THE EXPORT FILE FROM THE ACTIVE SERVER UNIT.,
"ADAPT (verb) , ADAPTS, ADAPTED, ADAPTED",,1,To change or adjust to that which is necessary,ADAPT THE PRESSURE CONNECTION TO THE PITOT HEAD.,
"ADD (verb) , ADDS, ADDED, ADDED",,1,"To increase the number, dimension, or quantity",ADD 5 ml OF HARDENER TO THE COMPOUND.,
ADJACENT,adjective,1,"That which is near to an object, with no other object of the same type between the two",DO NOT OPERATE THE ADJACENT CONTROL.,
ADJACENT TO,preposition,1,"To be near to an object, with no other object of the same type between the two",THE FUEL PUMP IS INSTALLED ADJACENT TO THE BULKHEAD.,
"ADJUST (verb) , ADJUSTS, ADJUSTED, ADJUSTED",,1,To put in or come to a specified position or value,ADJUST THE FREQUENCY TO THE VALUE GIVEN IN TABLE 1.,
ADJUSTABLE,adjective,1,That you can adjust,THE TWO STOP BOLTS ARE ADJUSTABLE.,
ADJUSTMENT,noun,1,The effect of adjusting,MAKE SURE THAT THE ADJUSTMENT IS IN THE LIMITS GIVEN IN TABLE 1.,
AFT,adjective,1,At or nearer to the rear of an air or sea vehicle,THE PUMP IS IN THE AFT CELL OF THE FUSELAGE TANK.,
AFT,adverb,1,In the direction of the rear of an air or sea vehicle,MOVE THE THROTTLE AFT.,
AFT OF,preposition,1,At a position nearer to the rear,THE CONTROL UNIT IS INSTALLED AFT OF THE FLIGHT COMPARTMENT.,
AFTER,conjunction,1,"That follows a specified time, sequence, or operation","AFTER YOU INSTALL THE COMPONENT, DO A FUNCTIONAL TEST.",
AFTER,preposition,1,"That follows a specified time, sequence, or operation",THE BAR MOVES DOWN AFTER 20 SECONDS.,
AGAIN,adverb,1,One more occurrence,"MOVE THE CONTROL STICK BACK TO THE CENTER, AND THEN MOVE IT FORWARD AGAIN.",
AGAINST,preposition,1,In contact with,PUT THE ADAPTER IN POSITION AGAINST ITS SUPPORT.,
AGENT,noun,1,One of a group of materials made to do a specified task,DO NOT USE THESE CLEANING AGENTS ON HOT SURFACES.,
"AGREE (verb) , AGREES, AGREED, AGREED",,1,To be consistent with,THE INDICATIONS MUST AGREE WITH THE VALUES IN TABLE 1001.,
AID,noun,1,Help that is given,"IF YOU GET THIS CHEMICAL SOLUTION INTO YOUR EYES, GET MEDICAL AID IMMEDIATELY.",
